name,evolution_info,ability_1,ability_2,hidden_ability,hp,atk,def,sp_atk,sp_def,spd,catch_rate,rarity,obtainability,type1,type2,wiki_url,gen
Butterfree,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Butterfree evolves from Metapod at level 7, thereby reaching the final stage of Caterpie's evolutionary line.",Compound Eyes,,Tinted Lens,60,45,50,80,80,70,5.88,Uncommon,"['Wild', 'Headbutt Trees']",Bug, Flying,https://wiki.pokemonrevolution.net/index.php?title=Butterfree,1
Caterpie,"This is a tabulated leveling chart of the amount of experience required to advance per level. It also comparatively generates the amount of experience required for its evolved forms, thereby allowing to handily cross-compare how much more experience its evolutions would need to reach the same level.",Shield Dust,,Run Away,45,30,35,20,20,45,33.33,Common,"['Wild', 'Headbutt Trees', 'NPCs']",Bug,,https://wiki.pokemonrevolution.net/index.php?title=Caterpie,1
Chansey,"Having evolved from Happiny when leveled up while holding an Oval Stone during the day-time, it will evolve into its final evolutionary outlet in Blissey when leveled up with maximal happiness.",Natural Cure,Serene Grace,Healer,250,5,5,35,105,50,3.92,Rare,['Wild'],Normal,,https://wiki.pokemonrevolution.net/index.php?title=Chansey,1
Charizard,"Charizard is a Fire- and Flying-type Pokémon. Having evolved from Charmeleon at level 36, it is the final evolutionary stage of Charmander.",Blaze,,Solar Power,78,84,78,109,85,100,5.88,Unhuntable,[],Fire, Flying,https://wiki.pokemonrevolution.net/index.php?title=Charizard,1
Charmander,"This also generates a cross-contrasted leveling chart for Charmander's evolutions in Charmeleon and Charizard, thereby outputting how much more experience they would need to level up to reach the same level as Charmander; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.",Blaze,,Solar Power,39,52,43,60,50,65,5.88,Rare,"['Wild', 'Headbutt Trees', 'NPCs']",Fire,,https://wiki.pokemonrevolution.net/index.php?title=Charmander,1
Charmeleon,"Charmeleon is a Fire-type Pokémon. Having evolved from Charmander at level 16, it evolves into Charizard at level 36.",Blaze,,Solar Power,58,64,58,80,65,80,5.88,Unhuntable,[],Fire,,https://wiki.pokemonrevolution.net/index.php?title=Charmeleon,1
Clefable,"Having evolved from Clefairy when contactually exposed to a Moon Stone, Clefable is the final stage of Cleffa's evolutionary line.",Cute Charm,Magic Guard,Unaware,95,70,73,85,90,60,3.27,Rare,['Wild'],Fairy,,https://wiki.pokemonrevolution.net/index.php?title=Clefable,1
Clefairy,"Having evolved from Cleffa when leveled up with maximal happiness, it evolves into Clefable when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,19.61,Common,['Wild'],Fairy,,https://wiki.pokemonrevolution.net/index.php?title=Clefairy,1
Cloyster,"It is the only evolutionary outlet of Shellder, having evolved from it when contactually exposed to a Water Stone.",Shell Armor,Skill Link,Overcoat,50,95,180,85,45,70,7.84,Unhuntable,[],Water, Ice,https://wiki.pokemonrevolution.net/index.php?title=Cloyster,1
Cubone,It evolves into its only evolutionary outlet in Marowak as early as level 28.,Rock Head,Lightning Rod,Battle Armor,50,50,95,40,50,35,24.84,Uncommon,"['Wild', 'Excavation Sites']",Ground,,https://wiki.pokemonrevolution.net/index.php?title=Cubone,1
Dewgong,"It is the only evolutionary outlet of Seel, having evolved from it as early as level 34.",Thick Fat,Hydration,Ice Body,90,70,80,70,95,70,9.8,Common,['Wild'],Water, Ice,https://wiki.pokemonrevolution.net/index.php?title=Dewgong,1
Diglett,"Alolan Diglett is a Ground and Steel-type Pokémon. 
It evolves into Alolan Dugtrio starting at level 26.",Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,33.33,Common,[],Ground,,https://wiki.pokemonrevolution.net/index.php?title=Diglett,1
Ditto,,Limber,,Imposter,48,48,48,48,48,48,4.58,Uncommon,['Wild'],Normal,,https://wiki.pokemonrevolution.net/index.php?title=Ditto,1
Dodrio,It evolves from Doduo as early as level 31.,Run Away,Early Bird,Tangled Feet,60,110,70,60,60,100,5.88,Common,['Wild'],Normal, Flying,https://wiki.pokemonrevolution.net/index.php?title=Dodrio,1
Doduo,It evolves into Dodrio as early as level 31.,Run Away,Early Bird,Tangled Feet,35,85,45,35,35,75,24.84,Common,['Wild'],Normal, Flying,https://wiki.pokemonrevolution.net/index.php?title=Doduo,1
Dragonair,"Dragonair is a Dragon-type Pokémon. Having evolved from Dratini at level 30, it evolves into Dragonite at level 55.",Shed Skin,,Marvel Scale,61,84,65,70,70,70,5.88,Rare,"['Land', 'Surfing']",Dragon,,https://wiki.pokemonrevolution.net/index.php?title=Dragonair,1
Dragonite,"Dragonite is a Dragon- and Flying-type Pokémon. Having evolved from Dragonair at level 55, it is the final evolutionary stage of Dratini.",Inner Focus,,Multiscale,91,134,95,100,100,80,5.88,Unhuntable,[],Dragon, Flying,https://wiki.pokemonrevolution.net/index.php?title=Dragonite,1
Dratini,"This also generates a cross-contrasted leveling chart for Dratini's evolutions in Dragonair and Dragonite, thereby outputting how much more experience they would need to level up to reach the same level as Dragonair; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.",Shed Skin,,Marvel Scale,41,64,45,50,50,50,5.88,Rare,"['Land', 'Water', 'NPCs']",Dragon,,https://wiki.pokemonrevolution.net/index.php?title=Dratini,1
Drowzee,It evolves into its only evolutionary outlet in Hypno as early as level 26.,Insomnia,Forewarn,Inner Focus,60,48,45,42,90,43,24.84,Common,['Wild'],Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Drowzee,1
Dugtrio,"Alolan Dugtrio is a Ground and Steel-type Pokémon. 
It evolves from Alolan Diglett starting at level 26, thereby reaching the final stage of its evolutionary line.",Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,6.54,Common,[],Ground,,https://wiki.pokemonrevolution.net/index.php?title=Dugtrio,1
Eevee,,Run Away,Adaptability,Anticipation,55,55,50,45,65,55,5.88,Rare,[],Normal,,https://wiki.pokemonrevolution.net/index.php?title=Eevee,1
Ekans,It evolves into Arbok as early as level 22.,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,33.33,Common,"['Wild', 'Discontinued Methods']",Poison,,https://wiki.pokemonrevolution.net/index.php?title=Ekans,1
Electabuzz,Electabuzz is as Electric-type Pokémon. It evolves from Elekid starting at level 30 and evolves into Electivire when traded holding an Electirizer.,Static,,Vital Spirit,65,83,57,95,85,105,5.88,Rare,['Wild'],Electric,,https://wiki.pokemonrevolution.net/index.php?title=Electabuzz,1
Electrode,"It is the final evolutionary outlet of Voltorb, having evolved from it as early as level 30.",Soundproof,Static,Aftermath,60,50,70,80,80,140,7.84,Common,['Wild'],Electric,,https://wiki.pokemonrevolution.net/index.php?title=Electrode,1
Exeggcute,It evolves into its only evolutionary outlet in Exeggutor once it is contactually exposed to a Leaf Stone.,Chlorophyll,,Harvest,60,40,80,60,45,40,11.76,Uncommon,['Wild'],Grass, Psychic,https://wiki.pokemonrevolution.net/index.php?title=Exeggcute,1
Exeggutor,"Exeggutor is a Grass-type Pokémon. 
It is the only evolutionary outlet of Exeggcute, having evolved from it when contractually exposed to a Leaf Stone.",Chlorophyll,,Harvest,95,95,85,125,65,55,5.88,Unhuntable,[],Grass, Psychic,https://wiki.pokemonrevolution.net/index.php?title=Exeggutor,1
Farfetch'd,,Keen Eye,Inner Focus,Defiant,52,65,55,58,62,50,5.88,Common,"['Wild', 'Headbutt trees', 'NPCs']",Normal, Flying,https://wiki.pokemonrevolution.net/index.php?title=Farfetch%27d,1
Fearow,"It evolves from Spearow as early as level 20, thereby reaching the final stage of its evolutionary line.",Keen Eye,,Sniper,65,90,65,61,61,100,11.76,Common,['Wild'],Normal, Flying,https://wiki.pokemonrevolution.net/index.php?title=Fearow,1
Flareon,Flareon is a Fire-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee with the use of a Fire Stone at any level.,Flash Fire,,Guts,65,130,60,95,110,65,5.88,Unhuntable,"['Wild', 'Miscellaneously']",Fire,,https://wiki.pokemonrevolution.net/index.php?title=Flareon,1
Gastly,"It evolves into Haunter as early as level 25; thereafter, it will evolve into Gengar when consummated as a part of any trade transaction.",Levitate,,,30,35,30,100,35,80,24.84,Common,"['Wild', 'Headbutt trees']",Ghost, Poison,https://wiki.pokemonrevolution.net/index.php?title=Gastly,1
Gengar,"Having evolved from Haunter when consummated in any trade transaction, it is the final stage of Gastly's evolutionary line. 
It can Mega Evolve into Mega Gengar via exposure of the Gengarite.",Cursed Body,,,60,65,60,130,75,110,5.88,Uncommon,['Wild'],Ghost, Poison,https://wiki.pokemonrevolution.net/index.php?title=Gengar,1
Geodude,"Alolan Geodude is a Rock and Electric-type Pokémon. 
It evolves into Alolan Graveler starting at level 25, which evolves into Alolan Golem when traded.",Rock Head,Sturdy,Sand Veil,40,80,100,30,30,20,33.33,Common,[],Rock, Ground,https://wiki.pokemonrevolution.net/index.php?title=Geodude,1
Gloom,"Having evolved from Oddish as early as level 21, it will either evolve into Vileplume (Leaf Stone) or Bellossom (Sun Stone).",Chlorophyll,,Stench,60,65,70,85,75,40,15.69,Common,['Wild'],Grass, Poison,https://wiki.pokemonrevolution.net/index.php?title=Gloom,1
Golbat,"Having evolved from Zubat as early as level 22, it evolves into Crobat when leveled up with maximal happiness, thereby reaching the final stage of its evolutionary line.",Inner Focus,,Infiltrator,75,80,70,65,75,90,11.76,Common,"['Wild', 'Headbutt trees']",Poison, Flying,https://wiki.pokemonrevolution.net/index.php?title=Golbat,1
Goldeen,It evolves into its only evolutionary outlet in Seaking as early as level 33.,Swift Swim,Water Veil,Lightning Rod,45,67,60,35,50,63,29.41,Common,['Wild'],Water,,https://wiki.pokemonrevolution.net/index.php?title=Goldeen,1
Golduck,"It is the only evolutionary outlet of Psyduck, having evolved from it as early as level 33.",Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,9.8,Common,['Wild'],Water,,https://wiki.pokemonrevolution.net/index.php?title=Golduck,1
Golem,"Alolan Golem is a Rock and Electric-type Pokémon. 
It evolves from Alolan Graveler when traded. It is the final form of Alolan Geodude.",Rock Head,Sturdy,Sand Veil,80,120,130,55,65,45,5.88,Uncommon,[],Rock, Ground,https://wiki.pokemonrevolution.net/index.php?title=Golem,1
Graveler,"Alolan Graveler is a Rock and Electric-type Pokémon. 
It evolves from Alolan Geodude starting at level 25, and evolves into Alolan Golem when traded.",Rock Head,Sturdy,Sand Veil,55,95,115,45,45,35,15.69,Common,[],Rock, Ground,https://wiki.pokemonrevolution.net/index.php?title=Graveler,1
Grimer,"Alolan Grimer is a Poison and Dark-type Pokémon. 
It evolves into Alolan Muk starting at level 38.",Stench,Sticky Hold,Poison Touch,80,80,50,40,50,25,24.84,Common,[],Poison,,https://wiki.pokemonrevolution.net/index.php?title=Grimer,1
Growlithe,It evolves into its only evolutionary outlet in Arcanine when contactually exposed to a Fire Stone.,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,24.84,Uncommon,"['Wild', 'NPCs', 'Abandoned Pokéballs']",Fire,,https://wiki.pokemonrevolution.net/index.php?title=Growlithe,1
Gyarados,It evolves From Magikarp and into its only evolutionary outlet in Gyarados as early as level 20. It can  Mega Evolve into Mega Gyarados via the exposure of Gyaradosite.,Intimidate,,Moxie,95,125,79,60,100,81,5.88,Common,['Wild'],Water, Flying,https://wiki.pokemonrevolution.net/index.php?title=Gyarados,1
Haunter,"Having evolved from Gastly as early as level 25, it will evolve into Gengar when consummated as a part of any trade transaction, thereby reaching the final stage of its evolutionary line.",Levitate,,,45,50,45,115,55,95,11.76,Common,['Wild'],Ghost, Poison,https://wiki.pokemonrevolution.net/index.php?title=Haunter,1
Hitmonchan,"It evolves from Tyrogue as early as level 20 when the total Defense is higher than its total Attack, otherwise it evolves into Hitmonlee when the Attack is higher than its Defense or into Hitmontop when both stats are equal. Hitmonchan is with all other possible evolutions of Tyrogue one of the final forms.",Keen Eye,Iron Fist,Inner Focus,50,105,79,35,110,76,5.88,Rare,"['Wild', 'Miscellaneous']",Fighting,,https://wiki.pokemonrevolution.net/index.php?title=Hitmonchan,1
Hitmonlee,It evolves from Tyrogue as early as level 20 when the total Attack is higher than its total Defense otherwise it evolves into Hitmonchan when the Defense is higher than its Attack or into Hitmontop when both stats are equal. Hitmonlee is with all other possible evolutions of Tyrogue one of the final forms.,Limber,Reckless,Unburden,50,120,53,35,110,87,5.88,Rare,"['Wild', 'Miscellaneous']",Fighting,,https://wiki.pokemonrevolution.net/index.php?title=Hitmonlee,1
Horsea,"It evolves into Seadra as early as level 32; thereafter, it will evolve into Kingdra when consummated in any trade while holding a Dragon Scale.",Swift Swim,Sniper,Damp,30,40,70,70,25,60,29.41,Common,"['Wild', 'Miscellaneous']",Water,,https://wiki.pokemonrevolution.net/index.php?title=Horsea,1
Hypno,"It is the only evolutionary outlet of Drowzee, having evolved from it as early as level 26.",Insomnia,Forewarn,Inner Focus,85,73,70,73,115,63,9.8,Uncommon,['Wild'],Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Hypno,1
Ivysaur,"Ivysaur is a Grass- and Poison-type Pokémon. Having evolved from Bulbasaur at level 16, it evolves into Venusaur at level 32.",Overgrow,,Chlorophyll,60,62,63,80,80,60,5.88,Unhuntable,[],Grass, Poison,https://wiki.pokemonrevolution.net/index.php?title=Ivysaur,1
Jigglypuff,"Having evolved from Igglybuff when leveled up with maximal happiness, it evolves into Wigglytuff when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,22.22,Common,['Wild'],Normal, Fairy,https://wiki.pokemonrevolution.net/index.php?title=Jigglypuff,1
Jolteon,Jolteon is a Electric-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee with the use of a Thunder Stone at any level.,Volt Absorb,,Quick Feet,65,65,60,110,95,130,5.88,Unhuntable,['Wild'],Electric,,https://wiki.pokemonrevolution.net/index.php?title=Jolteon,1
Jynx,It evolves from Smoochum at level 30.,Oblivious,Forewarn,Dry Skin,65,50,35,115,95,95,5.88,Uncommon,"['Wild', 'Headbutt Trees']",Ice, Psychic,https://wiki.pokemonrevolution.net/index.php?title=Jynx,1
Kabuto,It evolves into Kabutops as early as level 40.,Swift Swim,Battle Armor,Weak Armor,30,80,90,55,45,55,5.88,Rare,[],Rock, Water,https://wiki.pokemonrevolution.net/index.php?title=Kabuto,1
Kabutops,It evolves from Kabuto as early as level 40.,Swift Swim,Battle Armor,Weak Armor,60,115,105,65,70,80,5.88,Rare,[],Rock, Water,https://wiki.pokemonrevolution.net/index.php?title=Kabutops,1
Kadabra,"Having evolved from Abra as early as level 16, it will evolve into Alakazam when involved in any trade transaction, thereby reaching the final stage of Abra's evolutionary line.",Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,13.07,Uncommon,['Wild'],Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Kadabra,1
Kakuna,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Kakuna evolves from Weedle at level 7; thereafter, it evolves into Beedrill at level 10.",Shed Skin,,,45,25,50,25,25,35,15.69,Common,"['Wild', 'Headbutt Trees']",Bug, Poison,https://wiki.pokemonrevolution.net/index.php?title=Kakuna,1
Kangaskhan,,Early Bird,Scrappy,Inner Focus,105,95,80,40,80,90,5.88,Rare,['Wild'],Normal,,https://wiki.pokemonrevolution.net/index.php?title=Kangaskhan,1
Kingler,"It is the only evolutionary outlet of Krabby, having evolved from it as early as level 28.",Hyper Cutter,Shell Armor,Sheer Force,55,130,115,50,50,75,7.84,Common,['Wild'],Water,,https://wiki.pokemonrevolution.net/index.php?title=Kingler,1
Koffing,It evolves into its only evolutionary outlet in Weezing as early as level 35.,Levitate,,,40,65,95,60,45,35,24.84,Common,['Wild'],Poison,,https://wiki.pokemonrevolution.net/index.php?title=Koffing,1
Krabby,It evolves into its only evolutionary outlet in Kingler as early as level 28.,Hyper Cutter,Shell Armor,Sheer Force,30,105,90,25,25,50,29.41,Common,"['Wild', 'NPCs']",Water,,https://wiki.pokemonrevolution.net/index.php?title=Krabby,1
Lapras,,Water Absorb,Shell Armor,Hydration,130,85,80,85,95,60,5.88,Rare,['Surfing'],Water, Ice,https://wiki.pokemonrevolution.net/index.php?title=Lapras,1
Lickitung,"It evolves into Lickilicky when leveled up with Rollout in its move-pool possession. It learns the move-technique at level 33; however, it will evolve whenever it is leveled up with the move, irrespective of its method of acquisition.",Own Tempo,Oblivious,Cloud Nine,90,55,75,60,75,30,5.88,Uncommon,"['Wild', 'Miscellaneous']",Normal,,https://wiki.pokemonrevolution.net/index.php?title=Lickitung,1
Machamp,"Having evolved from Machoke when involved in any trade transaction, it is the final stage of Machop's evolutionary line.",Guts,No Guard,Steadfast,90,130,80,65,85,55,5.88,Uncommon,"['Wild', 'Trading']",Fighting,,https://wiki.pokemonrevolution.net/index.php?title=Machamp,1
Machoke,"This is a tabulated leveling chart of the amount of experience Machoke requires to advance per level, as well as the experience-points per level between its evolutions; this helps you cross-compare how much experience you would save if you were to delay its evolution to a later level, since evolved forms typically require heftily more experience to level up.",Guts,No Guard,Steadfast,80,100,70,50,60,45,11.76,Common,['Wild'],Fighting,,https://wiki.pokemonrevolution.net/index.php?title=Machoke,1
Machop,"This is a tabulated leveling chart of the amount of experience Machop requires to advance per level, as well as the experience-points per level between its evolutions; this helps you cross-compare how much experience you would save if you were to delay its evolution to a later level, since evolved forms typically require heftily more experience to level up.",Guts,No Guard,Steadfast,70,80,50,35,35,35,23.53,Common,"['Wild', 'Diggable Patches', 'NPCs']",Fighting,,https://wiki.pokemonrevolution.net/index.php?title=Machop,1
Magikarp,It evolves into its only evolutionary outlet in Gyarados as early as level 20.,Swift Swim,,Rattled,20,10,55,15,20,80,33.33,Common,['Wild'],Water,,https://wiki.pokemonrevolution.net/index.php?title=Magikarp,1
Magmar,"Having evolved from Magby as early as level 30, it will evolve into Magmortar when involved in any trade transaction while holding a Magmarizer, thereby reaching the final stage of its evolutionary line.",Flame Body,,Vital Spirit,65,95,57,100,85,93,5.88,Rare,['Wild'],Fire,,https://wiki.pokemonrevolution.net/index.php?title=Magmar,1
Magnemite,"It evolves into Magneton as early as level 30; thereafter, it will evolve into Magnezone when leveled up within the Power Plant, Mt. Coronet, or New Mauville.",Magnet Pull,Sturdy,Analytic,25,35,70,95,55,45,24.84,Common,"['Wild', 'NPCs']",Electric, Steel,https://wiki.pokemonrevolution.net/index.php?title=Magnemite,1
Magneton,"Having evolved from Magnemite as early as level 30, it will evolve into Magnezone when leveled up within the vicinity of the Power Plant, Mt. Coronet, or New Mauville, thereby reaching the final stage of its evolutionary line.",Magnet Pull,Sturdy,Analytic,50,60,95,120,70,70,7.84,Common,['Wild'],Electric, Steel,https://wiki.pokemonrevolution.net/index.php?title=Magneton,1
Mankey,It evolves into its only evolutionary outlet in Primeape as early as level 28.,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,24.84,Common,['Wild'],Fighting,,https://wiki.pokemonrevolution.net/index.php?title=Mankey,1
Marowak,"Marowak is a Ground-type Pokémon. 
It is the only evolutionary outlet of Cubone, having evolved from it as early as level 28.",Rock Head,Lightning Rod,Battle Armor,60,80,110,50,80,45,9.8,Rare,[],Ground,,https://wiki.pokemonrevolution.net/index.php?title=Marowak,1
Meowth,"Alolan Meowth is a Dark-type Pokémon. 
It evolves into Alolan Persian when leveled up with high happiness.",Pickup,Technician,Unnerve,40,45,35,40,40,90,33.33,Common,[],Normal,,https://wiki.pokemonrevolution.net/index.php?title=Meowth,1
Metapod,"This is a tabulated leveling chart of the amount of experience required to advance per level. It also comparatively generates the amount of experience required for its evolved forms, thereby allowing to handily cross-compare how much more experience its evolutions would need to reach the same level.",Shed Skin,,,50,20,55,25,25,30,15.69,Common,"['Wild', 'Headbutt Trees']",Bug,,https://wiki.pokemonrevolution.net/index.php?title=Metapod,1
Mew,,Synchronize,,,100,100,100,100,100,100,5.88,Unhuntable,[],Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Mew,1
Mewtwo,,Pressure,,Unnerve,106,110,90,154,90,130,0.39,Unhuntable,[],Psychic,,https://wiki.pokemonrevolution.net/index.php?title=Mewtwo,1
Moltres,,Pressure,,Flame Body,90,100,90,125,85,90,0.39,Unhuntable,[],Fire, Flying,https://wiki.pokemonrevolution.net/index.php?title=Moltres,1
Mr. Mime,"Mr. Mime is a Psychic- and Fairy-type Pokémon. It evolves from Mime Jr. at level 15 after learning the move Mimic, it is the final evolutionary stage.",Soundproof,Filter,Technician,40,45,65,100,120,90,5.88,Rare,['Wild'],Psychic, Fairy,https://wiki.pokemonrevolution.net/index.php?title=Mr._Mime,1
Muk,"Alolan Muk is a Poison and Dark-type Pokémon. 
It is the only evolutionary outlet of Alolan Grimer, having evolved from it as early as level 38.",Stench,Sticky Hold,Poison Touch,105,105,75,65,100,50,9.8,Uncommon,[],Poison,,https://wiki.pokemonrevolution.net/index.php?title=Muk,1
Nidoking,"Having evolved from Nidorino when contactually exposed to a Moon Stone, Nidoking is the final stage of Nidoran Male's evolutionary line.",Poison Point,Rivalry,Sheer Force,81,92,77,85,75,85,5.88,Uncommon,['Wild'],Poison, Ground,https://wiki.pokemonrevolution.net/index.php?title=Nidoking,1
Nidoqueen,"Having evolved from Nidorina when contactually exposed to a Moon Stone, Nidoqueen is the final stage of Nidoran Female's evolutionary line.",Poison Point,Rivalry,Sheer Force,90,82,87,75,85,76,5.88,Common,[],Poison, Ground,https://wiki.pokemonrevolution.net/index.php?title=Nidoqueen,1
Nidoran Female,"It evolves into Nidorina as early as level 16; thereafter, it will evolve into its final evolutionary stage in Nidoqueen when contactually exposed to a Moon Stone.",Poison Point,Rivalry,Hustle,55,47,52,40,40,41,30.72,Common,"['Wild', 'NPCs']",Poison,,https://wiki.pokemonrevolution.net/index.php?title=Nidoran_Female,1
Nidoran Male,"It evolves into Nidorino as early as level 16; thereafter, it will evolve into its final evolutionary stage in Nidoking when contactually exposed to a Moon Stone.",Poison Point,Rivalry,Hustle,46,57,40,40,40,50,30.72,Common,"['Wild', 'NPCs']",Poison,,https://wiki.pokemonrevolution.net/index.php?title=Nidoran_Male,1
Nidorina,"Having evolved from Nidoran Female as early as level 16, it evolves into Nidoqueen when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",Poison Point,Rivalry,Hustle,70,62,67,55,55,56,15.69,Common,['Wild'],Poison,,https://wiki.pokemonrevolution.net/index.php?title=Nidorina,1
Nidorino,"Having evolved from Nidoran Male as early as level 16, it evolves into Nidoking when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",Poison Point,Rivalry,Hustle,61,72,57,55,55,65,15.69,Common,['Wild'],Poison,,https://wiki.pokemonrevolution.net/index.php?title=Nidorino,1
Ninetales,"Alolan Ninetales is a Ice and Fairy-type Pokémon. 
Having evolved from Alolan Vulpix when contractually exposed to a Ice Stone, it is the final stage of its evolutionary line.",Flash Fire,,Drought,73,76,75,81,100,100,9.8,Unhuntable,[],Fire,,https://wiki.pokemonrevolution.net/index.php?title=Ninetales,1
Oddish,"It evolves into Gloom as early as level 21; thereafter, it will evolve into either Vileplume or Bellossom when contactually exposed to a Leaf Stone or Sun Stone, respectively, thereby reaching the final stage of its evolutionary line.",Chlorophyll,,Run Away,45,50,55,75,65,30,33.33,Common,"['Wild', 'NPCs']",Grass, Poison,https://wiki.pokemonrevolution.net/index.php?title=Oddish,1
Omanyte,It evolves into Omastar as early as level 40.,Swift Swim,Shell Armor,Weak Armor,35,40,100,90,55,35,5.88,Rare,"['Wild', 'Helix Fossil']",Rock, Water,https://wiki.pokemonrevolution.net/index.php?title=Omanyte,1
Omastar,It evolves from Omanyte as early as level 40.,Swift Swim,Shell Armor,Weak Armor,70,60,125,115,70,55,5.88,Unhuntable,[],Rock, Water,https://wiki.pokemonrevolution.net/index.php?title=Omastar,1
Onix,It evolves into its only evolutionary outlet in Steelix when involved in any trading transaction while holding a Metal Coat.,Rock Head,Sturdy,Weak Armor,35,45,160,30,45,70,5.88,Common,"['Wild', 'Diggable Patches', 'NPCs']",Rock, Ground,https://wiki.pokemonrevolution.net/index.php?title=Onix,1
Paras,It evolves into Parasect as early as level 24.,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,24.84,Common,"['Wild', 'NPCs']",Bug, Grass,https://wiki.pokemonrevolution.net/index.php?title=Paras,1
Parasect,It evolves from Paras as early as level 24 and is the final stage in the evolutionary line thereof.,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,9.8,Common,['Wild'],Bug, Grass,https://wiki.pokemonrevolution.net/index.php?title=Parasect,1
