name,evolution_info,types,abilities,HP,Atk,Def,Sp.Atk,Sp.Def,Spd,catch_rate,obtainability
Dragonair,"Dragonair is a Dragon-type Pokémon. Having evolved from Dratini at level 30, it evolves into Dragonite at level 55.",['Dragon'],"['Shed Skin', 'Marvel Scale']",61,84,65,70,70,70,5.88%,"['Land', 'Surfing']"
Dragonite,"Dragonite is a Dragon- and Flying-type Pokémon. Having evolved from Dragonair at level 55, it is the final evolutionary stage of Dratini.","['Dragon', 'Flying']","['Inner Focus', 'Multiscale']",91,134,95,100,100,80,5.88%,[]
Dratini,"This also generates a cross-contrasted leveling chart for Dratini's evolutions in Dragonair and Dragonite, thereby outputting how much more experience they would need to level up to reach the same level as Dragonair; this is helpful for those who want to know the exactitudes of how much experience they'll save by postponing evolutions, as evolved forms tend to require more experience to level up.",['Dragon'],"['Shed Skin', 'Marvel Scale']",41,64,45,50,50,50,5.88%,"['Land', 'Water', 'NPCs']"
Drowzee,It evolves into its only evolutionary outlet in Hypno as early as level 26.,['Psychic'],"['Insomnia', 'Forewarn', 'Inner Focus']",60,48,45,42,90,43,24.84%,['Wild']
Dugtrio,"Alolan Dugtrio is a Ground and Steel-type Pokémon. 
It evolves from Alolan Diglett starting at level 26, thereby reaching the final stage of its evolutionary line.",['Ground'],"['Sand Veil', 'Arena Trap', 'Sand Force']",35,100,50,50,70,120,6.54%,[]
Eevee,,['Normal'],"['Run Away', 'Adaptability', 'Anticipation']",55,55,50,45,65,55,5.88%,[]
Ekans,It evolves into Arbok as early as level 22.,['Poison'],"['Intimidate', 'Shed Skin', 'Unnerve']",35,60,44,40,54,55,33.33%,"['Wild', 'Discontinued Methods']"
Electabuzz,Electabuzz is as Electric-type Pokémon. It evolves from Elekid starting at level 30 and evolves into Electivire when traded holding an Electirizer.,['Electric'],"['Static', 'Vital Spirit']",65,83,57,95,85,105,5.88%,['Wild']
Electrode,"It is the final evolutionary outlet of Voltorb, having evolved from it as early as level 30.",['Electric'],"['Soundproof', 'Static', 'Aftermath']",60,50,70,80,80,140,7.84%,['Wild']
Exeggcute,It evolves into its only evolutionary outlet in Exeggutor once it is contactually exposed to a Leaf Stone.,"['Grass', 'Psychic']","['Chlorophyll', 'Harvest']",60,40,80,60,45,40,11.76%,['Wild']
Exeggutor,"Exeggutor is a Grass-type Pokémon. 
It is the only evolutionary outlet of Exeggcute, having evolved from it when contractually exposed to a Leaf Stone.","['Grass', 'Psychic']","['Chlorophyll', 'Harvest']",95,95,85,125,65,55,5.88%,[]
Farfetch'd,,"['Normal', 'Flying']","['Keen Eye', 'Inner Focus', 'Defiant']",52,65,55,58,62,50,5.88%,"['Wild', 'Headbutt trees', 'NPCs']"
Fearow,"It evolves from Spearow as early as level 20, thereby reaching the final stage of its evolutionary line.","['Normal', 'Flying']","['Keen Eye', 'Sniper']",65,90,65,61,61,100,11.76%,['Wild']
Flareon,Flareon is a Fire-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee with the use of a Fire Stone at any level.,['Fire'],"['Flash Fire', 'Guts']",65,130,60,95,110,65,5.88%,"['Wild', 'Miscellaneously']"
Gastly,"It evolves into Haunter as early as level 25; thereafter, it will evolve into Gengar when consummated as a part of any trade transaction.","['Ghost', 'Poison']",['Levitate'],30,35,30,100,35,80,24.84%,"['Wild', 'Headbutt trees']"
Gengar,"Having evolved from Haunter when consummated in any trade transaction, it is the final stage of Gastly's evolutionary line. 
It can Mega Evolve into Mega Gengar via exposure of the Gengarite.","['Ghost', 'Poison']",['Cursed Body'],60,65,60,130,75,110,5.88%,['Wild']
Geodude,"Alolan Geodude is a Rock and Electric-type Pokémon. 
It evolves into Alolan Graveler starting at level 25, which evolves into Alolan Golem when traded.","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']",40,80,100,30,30,20,33.33%,[]
Gloom,"Having evolved from Oddish as early as level 21, it will either evolve into Vileplume (Leaf Stone) or Bellossom (Sun Stone).","['Grass', 'Poison']","['Chlorophyll', 'Stench']",60,65,70,85,75,40,15.69%,['Wild']
Golbat,"Having evolved from Zubat as early as level 22, it evolves into Crobat when leveled up with maximal happiness, thereby reaching the final stage of its evolutionary line.","['Poison', 'Flying']","['Inner Focus', 'Infiltrator']",75,80,70,65,75,90,11.76%,"['Wild', 'Headbutt trees']"
Goldeen,It evolves into its only evolutionary outlet in Seaking as early as level 33.,['Water'],"['Swift Swim', 'Water Veil', 'Lightning Rod']",45,67,60,35,50,63,29.41%,['Wild']
Golduck,"It is the only evolutionary outlet of Psyduck, having evolved from it as early as level 33.",['Water'],"['Damp', 'Cloud Nine', 'Swift Swim']",80,82,78,95,80,85,9.8%,['Wild']
Golem,"Alolan Golem is a Rock and Electric-type Pokémon. 
It evolves from Alolan Graveler when traded. It is the final form of Alolan Geodude.","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']",80,120,130,55,65,45,5.88%,[]
Graveler,"Alolan Graveler is a Rock and Electric-type Pokémon. 
It evolves from Alolan Geodude starting at level 25, and evolves into Alolan Golem when traded.","['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Sand Veil']",55,95,115,45,45,35,15.69%,[]
Grimer,"Alolan Grimer is a Poison and Dark-type Pokémon. 
It evolves into Alolan Muk starting at level 38.",['Poison'],"['Stench', 'Sticky Hold', 'Poison Touch']",80,80,50,40,50,25,24.84%,[]
Growlithe,It evolves into its only evolutionary outlet in Arcanine when contactually exposed to a Fire Stone.,['Fire'],"['Intimidate', 'Flash Fire', 'Justified']",55,70,45,70,50,60,24.84%,"['Wild', 'NPCs', 'Abandoned Pokéballs']"
Gyarados,It evolves From Magikarp and into its only evolutionary outlet in Gyarados as early as level 20. It can  Mega Evolve into Mega Gyarados via the exposure of Gyaradosite.,"['Water', 'Flying']","['Intimidate', 'Moxie']",95,125,79,60,100,81,5.88%,['Wild']
Haunter,"Having evolved from Gastly as early as level 25, it will evolve into Gengar when consummated as a part of any trade transaction, thereby reaching the final stage of its evolutionary line.","['Ghost', 'Poison']",['Levitate'],45,50,45,115,55,95,11.76%,['Wild']
Hitmonchan,"It evolves from Tyrogue as early as level 20 when the total Defense is higher than its total Attack, otherwise it evolves into Hitmonlee when the Attack is higher than its Defense or into Hitmontop when both stats are equal. Hitmonchan is with all other possible evolutions of Tyrogue one of the final forms.",['Fighting'],"['Keen Eye', 'Iron Fist', 'Inner Focus']",50,105,79,35,110,76,5.88%,"['Wild', 'Miscellaneous']"
Hitmonlee,It evolves from Tyrogue as early as level 20 when the total Attack is higher than its total Defense otherwise it evolves into Hitmonchan when the Defense is higher than its Attack or into Hitmontop when both stats are equal. Hitmonlee is with all other possible evolutions of Tyrogue one of the final forms.,['Fighting'],"['Limber', 'Reckless', 'Unburden']",50,120,53,35,110,87,5.88%,"['Wild', 'Miscellaneous']"
Horsea,"It evolves into Seadra as early as level 32; thereafter, it will evolve into Kingdra when consummated in any trade while holding a Dragon Scale.",['Water'],"['Swift Swim', 'Sniper', 'Damp']",30,40,70,70,25,60,29.41%,"['Wild', 'Miscellaneous']"
Hypno,"It is the only evolutionary outlet of Drowzee, having evolved from it as early as level 26.",['Psychic'],"['Insomnia', 'Forewarn', 'Inner Focus']",85,73,70,73,115,63,9.8%,['Wild']
Ivysaur,"Ivysaur is a Grass- and Poison-type Pokémon. Having evolved from Bulbasaur at level 16, it evolves into Venusaur at level 32.","['Grass', 'Poison']","['Overgrow', 'Chlorophyll']",60,62,63,80,80,60,5.88%,[]
Jigglypuff,"Having evolved from Igglybuff when leveled up with maximal happiness, it evolves into Wigglytuff when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.","['Normal', 'Fairy']","['Cute Charm', 'Competitive', 'Friend Guard']",115,45,20,45,25,20,22.22%,['Wild']
Jolteon,Jolteon is a Electric-type Pokémon and one of eight possible evolution based on Eevee. Having evolved from Eevee with the use of a Thunder Stone at any level.,['Electric'],"['Volt Absorb', 'Quick Feet']",65,65,60,110,95,130,5.88%,['Wild']
Jynx,It evolves from Smoochum at level 30.,"['Ice', 'Psychic']","['Oblivious', 'Forewarn', 'Dry Skin']",65,50,35,115,95,95,5.88%,"['Wild', 'Headbutt Trees']"
Kabuto,It evolves into Kabutops as early as level 40.,"['Rock', 'Water']","['Swift Swim', 'Battle Armor', 'Weak Armor']",30,80,90,55,45,55,5.88%,[]
Kabutops,It evolves from Kabuto as early as level 40.,"['Rock', 'Water']","['Swift Swim', 'Battle Armor', 'Weak Armor']",60,115,105,65,70,80,5.88%,[]
Kadabra,"Having evolved from Abra as early as level 16, it will evolve into Alakazam when involved in any trade transaction, thereby reaching the final stage of Abra's evolutionary line.",['Psychic'],"['Synchronize', 'Inner Focus', 'Magic Guard']",40,35,30,120,70,105,13.07%,['Wild']
Kakuna,"As a part of one of the earliest-evolvable level-designated evolutionary lines, Kakuna evolves from Weedle at level 7; thereafter, it evolves into Beedrill at level 10.","['Bug', 'Poison']",['Shed Skin'],45,25,50,25,25,35,15.69%,"['Wild', 'Headbutt Trees']"
Kangaskhan,,['Normal'],"['Early Bird', 'Scrappy', 'Inner Focus']",105,95,80,40,80,90,5.88%,['Wild']
Kingler,"It is the only evolutionary outlet of Krabby, having evolved from it as early as level 28.",['Water'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",55,130,115,50,50,75,7.84%,['Wild']
Koffing,It evolves into its only evolutionary outlet in Weezing as early as level 35.,['Poison'],['Levitate'],40,65,95,60,45,35,24.84%,['Wild']
Krabby,It evolves into its only evolutionary outlet in Kingler as early as level 28.,['Water'],"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",30,105,90,25,25,50,29.41%,"['Wild', 'NPCs']"
Lapras,,"['Water', 'Ice']","['Water Absorb', 'Shell Armor', 'Hydration']",130,85,80,85,95,60,5.88%,['Surfing']
Lickitung,"It evolves into Lickilicky when leveled up with Rollout in its move-pool possession. It learns the move-technique at level 33; however, it will evolve whenever it is leveled up with the move, irrespective of its method of acquisition.",['Normal'],"['Own Tempo', 'Oblivious', 'Cloud Nine']",90,55,75,60,75,30,5.88%,"['Wild', 'Miscellaneous']"
Machamp,"Having evolved from Machoke when involved in any trade transaction, it is the final stage of Machop's evolutionary line.",['Fighting'],"['Guts', 'No Guard', 'Steadfast']",90,130,80,65,85,55,5.88%,"['Wild', 'Trading']"
Machoke,"This is a tabulated leveling chart of the amount of experience Machoke requires to advance per level, as well as the experience-points per level between its evolutions; this helps you cross-compare how much experience you would save if you were to delay its evolution to a later level, since evolved forms typically require heftily more experience to level up.",['Fighting'],"['Guts', 'No Guard', 'Steadfast']",80,100,70,50,60,45,11.76%,['Wild']
Machop,"This is a tabulated leveling chart of the amount of experience Machop requires to advance per level, as well as the experience-points per level between its evolutions; this helps you cross-compare how much experience you would save if you were to delay its evolution to a later level, since evolved forms typically require heftily more experience to level up.",['Fighting'],"['Guts', 'No Guard', 'Steadfast']",70,80,50,35,35,35,23.53%,"['Wild', 'Diggable Patches', 'NPCs']"
Magikarp,It evolves into its only evolutionary outlet in Gyarados as early as level 20.,['Water'],"['Swift Swim', 'Rattled']",20,10,55,15,20,80,33.33%,['Wild']
Magmar,"Having evolved from Magby as early as level 30, it will evolve into Magmortar when involved in any trade transaction while holding a Magmarizer, thereby reaching the final stage of its evolutionary line.",['Fire'],"['Flame Body', 'Vital Spirit']",65,95,57,100,85,93,5.88%,['Wild']
Magnemite,"It evolves into Magneton as early as level 30; thereafter, it will evolve into Magnezone when leveled up within the Power Plant, Mt. Coronet, or New Mauville.","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']",25,35,70,95,55,45,24.84%,"['Wild', 'NPCs']"
Magneton,"Having evolved from Magnemite as early as level 30, it will evolve into Magnezone when leveled up within the vicinity of the Power Plant, Mt. Coronet, or New Mauville, thereby reaching the final stage of its evolutionary line.","['Electric', 'Steel']","['Magnet Pull', 'Sturdy', 'Analytic']",50,60,95,120,70,70,7.84%,['Wild']
Mankey,It evolves into its only evolutionary outlet in Primeape as early as level 28.,['Fighting'],"['Vital Spirit', 'Anger Point', 'Defiant']",40,80,35,35,45,70,24.84%,['Wild']
Marowak,"Marowak is a Ground-type Pokémon. 
It is the only evolutionary outlet of Cubone, having evolved from it as early as level 28.",['Ground'],"['Rock Head', 'Lightning Rod', 'Battle Armor']",60,80,110,50,80,45,9.8%,[]
Meowth,"Alolan Meowth is a Dark-type Pokémon. 
It evolves into Alolan Persian when leveled up with high happiness.",['Normal'],"['Pickup', 'Technician', 'Unnerve']",40,45,35,40,40,90,33.33%,[]
Metapod,"This is a tabulated leveling chart of the amount of experience required to advance per level. It also comparatively generates the amount of experience required for its evolved forms, thereby allowing to handily cross-compare how much more experience its evolutions would need to reach the same level.",['Bug'],['Shed Skin'],50,20,55,25,25,30,15.69%,"['Wild', 'Headbutt Trees']"
Mew,,['Psychic'],['Synchronize'],100,100,100,100,100,100,5.88%,[]
Mewtwo,,['Psychic'],"['Pressure', 'Unnerve']",106,110,90,154,90,130,0.39%,[]
Moltres,,"['Fire', 'Flying']","['Pressure', 'Flame Body']",90,100,90,125,85,90,0.39%,[]
Mr. Mime,"Mr. Mime is a Psychic- and Fairy-type Pokémon. It evolves from Mime Jr. at level 15 after learning the move Mimic, it is the final evolutionary stage.","['Psychic', 'Fairy']","['Soundproof', 'Filter', 'Technician']",40,45,65,100,120,90,5.88%,['Wild']
Muk,"Alolan Muk is a Poison and Dark-type Pokémon. 
It is the only evolutionary outlet of Alolan Grimer, having evolved from it as early as level 38.",['Poison'],"['Stench', 'Sticky Hold', 'Poison Touch']",105,105,75,65,100,50,9.8%,[]
Nidoking,"Having evolved from Nidorino when contactually exposed to a Moon Stone, Nidoking is the final stage of Nidoran Male's evolutionary line.","['Poison', 'Ground']","['Poison Point', 'Rivalry', 'Sheer Force']",81,92,77,85,75,85,5.88%,['Wild']
Nidoqueen,"Having evolved from Nidorina when contactually exposed to a Moon Stone, Nidoqueen is the final stage of Nidoran Female's evolutionary line.","['Poison', 'Ground']","['Poison Point', 'Rivalry', 'Sheer Force']",90,82,87,75,85,76,5.88%,[]
Nidoran Female,"It evolves into Nidorina as early as level 16; thereafter, it will evolve into its final evolutionary stage in Nidoqueen when contactually exposed to a Moon Stone.",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",55,47,52,40,40,41,30.72%,"['Wild', 'NPCs']"
Nidoran Male,"It evolves into Nidorino as early as level 16; thereafter, it will evolve into its final evolutionary stage in Nidoking when contactually exposed to a Moon Stone.",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",46,57,40,40,40,50,30.72%,"['Wild', 'NPCs']"
Nidorina,"Having evolved from Nidoran Female as early as level 16, it evolves into Nidoqueen when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",70,62,67,55,55,56,15.69%,['Wild']
Nidorino,"Having evolved from Nidoran Male as early as level 16, it evolves into Nidoking when contactually exposed to a Moon Stone, thereby reaching the final stage of its evolutionary line.",['Poison'],"['Poison Point', 'Rivalry', 'Hustle']",61,72,57,55,55,65,15.69%,['Wild']
Ninetales,"Alolan Ninetales is a Ice and Fairy-type Pokémon. 
Having evolved from Alolan Vulpix when contractually exposed to a Ice Stone, it is the final stage of its evolutionary line.",['Fire'],"['Flash Fire', 'Drought']",73,76,75,81,100,100,9.8%,[]
Oddish,"It evolves into Gloom as early as level 21; thereafter, it will evolve into either Vileplume or Bellossom when contactually exposed to a Leaf Stone or Sun Stone, respectively, thereby reaching the final stage of its evolutionary line.","['Grass', 'Poison']","['Chlorophyll', 'Run Away']",45,50,55,75,65,30,33.33%,"['Wild', 'NPCs']"
Omanyte,It evolves into Omastar as early as level 40.,"['Rock', 'Water']","['Swift Swim', 'Shell Armor', 'Weak Armor']",35,40,100,90,55,35,5.88%,"['Wild', 'Helix Fossil']"
Omastar,It evolves from Omanyte as early as level 40.,"['Rock', 'Water']","['Swift Swim', 'Shell Armor', 'Weak Armor']",70,60,125,115,70,55,5.88%,[]
Onix,It evolves into its only evolutionary outlet in Steelix when involved in any trading transaction while holding a Metal Coat.,"['Rock', 'Ground']","['Rock Head', 'Sturdy', 'Weak Armor']",35,45,160,30,45,70,5.88%,"['Wild', 'Diggable Patches', 'NPCs']"
Paras,It evolves into Parasect as early as level 24.,"['Bug', 'Grass']","['Effect Spore', 'Dry Skin', 'Damp']",35,70,55,45,55,25,24.84%,"['Wild', 'NPCs']"
Parasect,It evolves from Paras as early as level 24 and is the final stage in the evolutionary line thereof.,"['Bug', 'Grass']","['Effect Spore', 'Dry Skin', 'Damp']",60,95,80,60,80,30,9.8%,['Wild']
Persian,"Alolan Persian is a Dark-type Pokémon. 
It evolves from Alolan Meowth while it has full happiness.",['Normal'],"['Limber', 'Technician', 'Unnerve']",65,70,65,65,70,115,11.76%,[]
Pidgeot,It evolves from Pidgeotto as early as level 36 and is the final evolutionary stage of Pidgey.,"['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",83,80,75,70,70,91,5.88%,['Wild']
Pidgeotto,"Having evolved from Pidgey as early as level 18, it evolves into its final evolutionary stage in Pidgeot as early as level 36.","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",63,60,55,50,50,71,15.69%,['Wild']
Pidgey,"It evolves into Pidgeotto as early as level 18, whereafter it evolves into Pidgeot as early as level 36.","['Normal', 'Flying']","['Keen Eye', 'Tangled Feet', 'Big Pecks']",40,45,40,35,35,56,33.33%,"['Wild', 'Headbutt Trees', 'NPCs']"
Pikachu,"Having evolved from its baby-stage pre-evolution in Pichu when leveled up with maximal happiness, it evolves into its final evolutionary stage in Raichu via usage of a Thunder Stone.",['Electric'],"['Static', 'Lightning Rod']",35,55,30,50,40,90,24.84%,"['Wild', 'NPCs']"
Pinsir,,['Bug'],"['Hyper Cutter', 'Mold Breaker', 'Moxie']",65,125,100,55,70,85,5.88%,"['Wild', 'Headbutt Trees']"
Poliwag,"It evolves into Poliwhirl as early as level 25; thereafter, it will either evolve into Poliwrath via contactual exposure to a Water Stone, or it will evolve into Politoed when traded while holding a King's Rock.",['Water'],"['Water Absorb', 'Damp', 'Swift Swim']",40,50,40,40,40,90,33.33%,['Wild']
Poliwhirl,"Having evolved from Poliwag as early as level 25, it has a bievolutionary outlet; it will either evolve into Poliwrath when contactually exposed to a Water Stone, or it will evolve into Politoed when traded while holding a King's Rock.",['Water'],"['Water Absorb', 'Damp', 'Swift Swim']",65,65,65,50,50,90,15.69%,['Wild']
Poliwrath,"Having evolved from Poliwhirl whereupon being contactually exposed to a Water Stone, it is one out of two of Poliwag's final stages in its bievolutionary lines; the other one is Politoed, which evolves from Poliwhirl when traded while holding a King's Rock.","['Water', 'Fighting']","['Water Absorb', 'Damp', 'Swift Swim']",90,85,95,70,90,70,5.88%,['Wild']
Ponyta,It evolves into its only evolutionary outlet in Rapidash as early as level 40.,['Fire'],"['Run Away', 'Flash Fire', 'Flame Body']",50,85,55,65,65,90,24.84%,['Wild']
Porygon,"It evolves into Porygon2 when traded holding an Up-Grade, which evolves into Porygon-Z when traded holding a Dubious Disc.",['Normal'],"['Trace', 'Download', 'Analytic']",65,60,70,85,75,40,5.88%,"['Wild', 'Wondrous Site', 'Boss Reward', 'Cinnabar Research Lab']"
Primeape,"It is the only evolutionary outlet of Mankey, having evolved from it as early as level 28.",['Fighting'],"['Vital Spirit', 'Anger Point', 'Defiant']",65,105,60,60,70,95,9.8%,['Wild']
Psyduck,It evolves into its only evolutionary outlet in Golduck as early as level 33.,['Water'],"['Damp', 'Cloud Nine', 'Swift Swim']",50,52,48,65,50,55,24.84%,['Wild']
Raichu,"Raichu is a Electric-type Pokémon. 
Having evolved from Pikachu via contractual exposure to a Thunder Stone, it is the final stage in the evolutionary line of the baby-stage Pichu Pokémon.",['Electric'],"['Static', 'Lightning Rod']",60,90,55,90,80,110,9.8%,[]
Rapidash,"Having evolved from Ponyta at as early as level 40, it is its only evolutionary outlet.",['Fire'],"['Run Away', 'Flash Fire', 'Flame Body']",65,100,70,80,80,105,7.84%,['Wild']
Raticate,"Alolan Raticate is a Dark and Normal-type Pokémon. 
It evolves from Alolan Rattata at level 20 during nighttime, and is the final evolutionary stage of its line",['Normal'],"['Run Away', 'Guts', 'Hustle']",55,81,60,50,70,97,16.6%,[]
Rattata,"Alolan Rattata is a Dark and Normal-type Pokémon. 
It evolves into Alolan Raticate at level 20 during nighttime.",['Normal'],"['Run Away', 'Guts', 'Hustle']",30,56,35,25,35,72,33.33%,[]
Rhydon,"Having evolved from Rhyhorn as early as level 42, it will evolve into Rhyperior by holding a Protector while transacted in any trade.","['Ground', 'Rock']","['Lightning Rod', 'Rock Head', 'Reckless']",105,130,120,45,45,40,7.84%,['Wild']
Rhyhorn,"It evolves into Rhydon as early as level 42; thereafter, it will evolve into Rhyperior by holding a Protector while transacted in any trade.","['Ground', 'Rock']","['Lightning Rod', 'Rock Head', 'Reckless']",80,85,95,30,30,25,15.69%,"['Wild', 'Diggable Patches']"
Sandshrew,"Alolan Sandshrew is a Ice and Steel-type Pokémon. 
It evolves into Alolan Sandslash when exposed to an Ice Stone.",['Ground'],"['Sand Veil', 'Sand Rush']",50,75,85,20,30,40,33.33%,[]
Sandslash,"Alolan Sandslash is a Ice and Steel-type Pokémon. 
It evolves from Alolan Sandshrew when contractually exposed to an Ice Stone, it is the final stage of its evolutionary line.",['Ground'],"['Sand Veil', 'Sand Rush']",75,100,110,45,55,65,11.76%,[]
Scyther,Scyther is a Bug and Flying-type Pokémon. It evolves into Scizor when traded holding a Metal Coat.,"['Bug', 'Flying']","['Swarm', 'Technician', 'Steadfast']",70,110,80,55,80,105,5.88%,['Wild']
